"Key","Mode","Menu","Call Type","Call Object","Call Object Call Type","Call Object TG/DMR ID","Digi Call Type","Content"
"1","Menu","SMS","Analog","Off","","Group Call","","Off","0"
"2","Menu","New SMS","Analog","Off","","Group Call","","Off","0"
"3","Menu","Hot Text","Analog","Off","","Group Call","","Off","0"
"4","Menu","Received SMS","Analog","Off","","Group Call","","Off","0"
"5","Menu","Send SMS","Analog","Off","","Group Call","","Off","0"
"6","Menu","Contact List","Analog","Off","","Group Call","","Off","0"
"7","Menu","Manual Dial","Analog","Off","","Group Call","","Off","0"
"8","Menu","Call Log","Analog","Off","","Group Call","","Off","0"
"9","Menu","Dialed Call","Analog","Off","","Group Call","","Off","0"
"10","Menu","Received Call","Analog","Off","","Group Call","","Off","0"
"11","Menu","Missed Call","Analog","Off","","Group Call","","Off","0"
"12","Menu","Zone","Analog","Off","","Group Call","","Off","0"
"13","Menu","Radio Set","Analog","Off","","Group Call","","Off","0"
"14","Menu","SMS","Analog","Off","","Group Call","","Off","0"
"15","Menu","New SMS","Analog","Off","","Group Call","","Off","0"
"16","Menu","Hot Text","Analog","Off","","Group Call","","Off","0"
"17","Menu","Received SMS","Analog","Off","","Group Call","","Off","0"
"18","Menu","Send SMS","Analog","Off","","Group Call","","Off","0"
